Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%),
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,8
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,4
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4
1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,9
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,7
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3
1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4
0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,3
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7
0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,3
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16,8
1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,9
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,
0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4
0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5
0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,7
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,
0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6,2
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2
2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,1
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2
0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13,9
0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,6
0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20,2
1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22,6
1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,6
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,6
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7,7
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10,1
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8
1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11,4
0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,5
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,5
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,9
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,7
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9
0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21,5
0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22,1
0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3,4
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,4
0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8,2
2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,3
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,7
1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,9
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,3
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,4
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,8
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,7
0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
